language,H
ar,5.252369365
bg,5.326017077
bn,5.183987592
de,5.440228749
el,5.313718424
es,5.356138078
fa,5.194490003
fr,5.34463606
gu,5.196212451
hi,5.260263235
id,5.267623392
ig,3.571063506
it,5.373814453
ja,4.891910403
kn,5.221775363
ko,5.345748439
ml,5.203828914
mr,5.134496951
ne,4.984801646
nl,5.428096712
pa,5.079795146
pl,5.341950757
pt,5.354540456
ro,5.313890689
ru,5.361679712
ta,5.17909593
te,5.234700022
th,5.097132793
tl,5.201951332
tr,5.280063369
ur,5.188695309
vi,4.798689934
yo,4.526683488
zh,5.20873659